CLUST,NAME,STATE,TIER,LATITUDE,LONGITUDE,ELEVATION,EVENT50
10.1.1.0015,KELOWNA A,BC,1,49.95,-119.39165,443,1.1
10.1.1.0025,OKANAGAN CENTRE,BC,1,50.04165,-119.43335,502,1.1
10.1.1.0028,PEACHLAND,BC,1,49.7833,-119.7167,345,0.9
10.1.1.0030,PENTICTON A,BC,1,49.4667,-119.6,344,0.7
10.1.1.0031,PRINCETON CS,BC,1,49.4667,-120.5167,699.5,2.2
10.1.2.0002,OLIVER,BC,1,49.175,-119.55835,306,0.5
10.1.2.0006,NEZPERCE 0.2 WNW,ID,1,46.23375,-116.24295,986.5,1.4
10.1.2.0009,PENDLETON 1.0 WNW,OR,1,45.6724,-118.80215,333.15,0.9
10.1.2.0010,RITZVILLE 0.2 ESE,WA,1,47.1216,-118.3721,567.8,1
10.1.2.0012,WENATCHEE 0.6 N,WA,1,47.43165,-120.31845,202.85,1.1
10.1.2.0013,WENATCHEE 1.0 WSW,WA,1,47.42625,-120.34725,259.05,1.2
10.1.2.0032,COTTONWOOD,ID,1,46.0167,-116.3333,1040,2.1
10.1.2.0035,GRANGEVILLE,ID,1,45.9414,-116.1175,1005.8,1.4
10.1.2.0038,LEWISTON,ID,1,46.4167,-117.025,220.85,0.5
10.1.2.0039,MOSCOW U OF I,ID,1,46.7281,-116.9558,810.8,1.8
10.1.2.0041,POTLATCH 3 NNE,ID,1,46.9603,-116.855,841.2,1.8
10.1.2.0043,ARLINGTON,OR,1,45.7211,-120.2064,84.4,0.6
10.1.2.0046,CONDON,OR,1,45.2408,-120.1789,878.1,1.4
10.1.2.0047,DUFUR,OR,1,45.4539,-121.1303,405.4,1.3
10.1.2.0048,ECHO,OR,1,45.75,-119.1833,200.9,0.9
10.1.2.0051,HEPPNER,OR,1,45.3653,-119.5639,574.5,0.8
10.1.2.0052,HERMISTON 1 SE,OR,1,45.8289,-119.2636,195.1,0.7
10.1.2.0053,IONE 18 S,OR,1,45.3167,-119.8814,659.9,1
10.1.2.0054,KENT,OR,1,45.1967,-120.6994,826,1
